city_name,job_id,benefits,bid,campaign_budget,campaign_id,company_logo,company_name,description,feed_id,lat,lon,major_category,minor_category,pay_currentcy,pay_from,pay_option,pay_to,pay_type,postal_code,requirements,state,status,title,work_schedule
Mather,1915,"['Life insurance', 'Paid time off (PTO) such as sick day and vacation days']",0,,1,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,desc,,38.5496,-121.279,Construction / Facilities,Demolitions,,3000,0,,1,95655,"['Php', 'aa']",California,1,shipper,FULL_TIME
West New York,1980,['Health insurance'],0,,10,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,desc,,40.7881,-74.0115,Capital Markets,Financial Sales / Broker,,1000,2,,1,07093,['Javascript'],New Jersey,1,Job1427_update,PART_TIME
West New York,1873,"['PHP', 'SOS']",0,,223,,FPT - managed,Desc,,40.7881,-74.0115,Emergency Services / Enforcement,Police and Sherrifs Patrol Officers,,1000,2,,1,07093,"['bb', 'Php']",New Jersey,1,Job1817,PART_TIME
West New York,1281,['Life insurance'],0,,70,,FPT - managed,adasd,,40.7881,-74.0115,Construction / Facilities,Highway Maintenance,,123,2,,1,07093,['C#'],New Jersey,1,Who your daddy,Full Time
West New York,1260,['Life insurance'],0,,53,,FPT - managed,123,,40.7881,-74.0115,Construction / Facilities,HAZMAT,,123,0,,1,07093,['Php'],New Jersey,1,Who is your daddy,Full Time
West New York,1057,"['Employee assistance programs(mental and emotional wellbing)', 'Paid time off (PTO) such as sick day and vacation days', 'Flexible and remote working options']",0,,48,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_33_1658591981306.jpg,managedclient23,"Develop Apex (classes and triggers), Lightning Components, and Visualforce to extend Salesforce in order to support business requirements,",,40.7881,-74.0115,Construction / Facilities,Foreman,,1000,0,,1,07093,['Javascript'],New Jersey,1,Junior Salesforce Developer (JavaScript),Full Time
Deer Park,1096,"['Flexible and remote working options', 'Life insurance']",0,,144,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_33_1658591981306.jpg,managedclient23,normal,,40.7628,-73.3218,Construction / Facilities,Highway Maintenance,,1000,0,,1,11729,"['Javascript', 'mySql']",New York,2,Normal developer,Full Time
Baytown,1833,"['Health insurance', 'Life insurance']",0,,222,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,"excellent communicator, great at number and analytical skills",,29.739,-94.9983,Finance,Financial Advisor,,2000,2,,1,77520,['mySql'],Texas,1,Data Analyst,FULL_TIME
Baytown,1544,"['Health insurance', 'Life insurance']",0,,222,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,"excellent communicator, great at number and analytical skills",,29.739,-94.9983,Finance,Financial Advisor,,2000,0,,1,77520,['mySql'],Texas,1,Data Analyst,FULL_TIME
Baytown,58,['Paid time off (PTO) such as sick day and vacation days'],0,,1,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,123123,,29.7985,-94.9659,Capital Markets,Trader,,,,,,77521,['Javascript'],Texas,2,123,Full Time
Pearland,1819,"['Health insurance', 'Life insurance']",0,,222,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,"excellent communicator, great at number and analytical skills",,29.546,-95.3508,Finance,Financial Advisor,,2000,2,,1,77584,['mySql'],Texas,1,Data Analyst,FULL_TIME
Pearland,1530,"['Health insurance', 'Life insurance']",0,,222,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,"excellent communicator, great at number and analytical skills",700021a879721bc97b85d800ff96e8c72b3e9869,29.546,-95.3508,Finance,Financial Advisor,,2000,0,,1,77584,['mySql'],Texas,1,Data Analyst,FULL_TIME
Pearland,971,"['Flexible and remote working options', 'Retirement benefit or accounts', 'Employee assistance programs(mental and emotional wellbing)']",0,,57,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_33_1658591981306.jpg,managedclient23,FE,,29.546,-95.3508,Construction / Facilities,Foreman,,1000,0,,1,77584,"['Javascript', 'Sleep']",Texas,2,FE 001,Full Time
Pearland,576,"['PHP', 'Retirement benefit or accounts']",0,,48,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_33_1658591981306.jpg,managedclient23,123,,29.546,-95.3508,Government,City Official - Non Elected,,1000,0,,1,77584,['Php'],Texas,1,Java BE,Full Time
Pearland,500,"['Health insurance', 'Life insurance']",0,,100,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_33_1658591981306.jpg,managedclient23,123,,29.546,-95.3508,Construction / Facilities,Foreman,,123,0,,1,77584,"['Javascript', 'C#']",Texas,1,123,Part Time
Pearland,465,"['Life insurance', 'SOS', 'Nha']",0,,55,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,Desc,,29.546,-95.3508,Education / Higher Education,Teacher - Preschool,,2000,0,,1,77584,"['Javascript', 'C#', 'aa', 'bb']",Texas,1,Job 1136,Full Time
Pearland,154,"['Life insurance', 'Health insurance', 'Flexible and remote working options', 'Paid time off (PTO) such as sick day and vacation days', 'Retirement benefit or accounts', 'Employee assistance programs(mental and emotional wellbing)']",0,,48,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_33_1658591981306.jpg,managedclient23,Frontend,,29.546,-95.3508,Capital Markets,Trader,,1000,0,,1,77584,['Javascript'],Texas,1,Job Frontend,Full Time
Pearland,52,['Paid time off (PTO) such as sick day and vacation days'],0,,1,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,123123,,29.546,-95.3508,Capital Markets,Trader,,,,,,77584,['Javascript'],Texas,2,123,Full Time
Lakewood,2059,['Life insurance'],0,,221,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,Decsc,,33.8404,-118.079,Emergency Services / Enforcement,Parking Enforcement,,1000,2,,1,90715,['Sleep'],California,1,Job1700,PART_TIME
Lakewood,1931,"['Flexible and remote working options', 'Retirement benefit or accounts']",0,,1,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,dessc,,33.8404,-118.079,Capital Markets,Trader,,600,0,,1,90715,"['Php', 'bb']",California,1,crypto digger,FULL_TIME
Lakewood,1320,"['Employee assistance programs(mental and emotional wellbing)', 'Paid time off (PTO) such as sick day and vacation days']",0,,53,,FPT - managed,create job title bt lta 328 721,,40.0765,-74.2032,Construction / Facilities,Line Worker,,1230,0,,1,08701,['C#'],New Jersey,1,create job title bt lta 328 721,Part Time
Lakewood,1318,"['Employee assistance programs(mental and emotional wellbing)', 'Paid time off (PTO) such as sick day and vacation days']",0,,53,,FPT - managed,create job title bt lta 328 721,,40.0765,-74.2032,Construction / Facilities,Line Worker,,1230,2,,1,08701,['C#'],New Jersey,1,create job title bt lta 328 721,Full Time
Lakewood,1060,"['Employee assistance programs(mental and emotional wellbing)', 'Paid time off (PTO) such as sick day and vacation days', 'Flexible and remote working options']",0,,48,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_33_1658591981306.jpg,managedclient23,"Develop Apex (classes and triggers), Lightning Components, and Visualforce to extend Salesforce in order to support business requirements,",,40.0765,-74.2032,Construction / Facilities,Foreman,,1000,0,,1,08701,['Javascript'],New Jersey,1,Junior Salesforce Developer (JavaScript),Full Time
Lakewood,977,"['Flexible and remote working options', 'Paid time off (PTO) such as sick day and vacation days', 'Employee assistance programs(mental and emotional wellbing)']",0,,57,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_33_1658591981306.jpg,managedclient23,qqweqwe,,40.0765,-74.2032,Construction / Facilities,Demolitions,,1000,0,,1,08701,"['Javascript', 'C#']",New Jersey,2,FE 0002,Full Time
Lakewood,884,"['Health insurance', 'Flexible and remote working options']",0,,122,,test,developer 1407 0857,,40.0765,-74.2032,Construction / Facilities,Foreman,,1000,0,,1,08701,"['Javascript', 'C#', 'mySql']",New Jersey,1,developer 1407 0857,Part Time
Lakewood,657,"['Health insurance', 'Paid time off (PTO) such as sick day and vacation days']",0,,48,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_33_1658591981306.jpg,managedclient23,letheanh test question desc,,40.0765,-74.2032,Construction / Facilities,Building Inspection,,12345,0,,1,08701,"['mySql', 'Sleep']",New Jersey,1,letheanh test question,Full Time
Lakewood,474,"['Life insurance', 'SOS', 'Nha']",0,,55,https://objectstorage.us-ashburn-1.oraclecloud.com/n/idapel7w8ikn/b/company-dev/o/logo_1_1658851110628.jpeg,GOTORO,Desc,,40.0765,-74.2032,Education / Higher Education,Teacher - Preschool,,2000,0,,1,08701,"['Javascript', 'C#', 'aa', 'bb']",New Jersey,1,Job 1136,Full Time
