create_time,bid,bn,campaign_id,cd,custom_track,de,dl,dt,ed,ev,group_id,id,job_id,md,publisher_id,rl,sr,ts,tz,ua,uid,utm_campaign,utm_content,utm_medium,utm_source,utm_term,v,vp
f7346e40-0667-11ed-b05a-72ef16420234,,Chrome 103,,24,click,UTF-8,http://129.213.68.90/candidate-portal/,CandidatePortal,"{""customEvent"":""click"",""jobId"":10,""publisherId"":0,""userId"":78}",2,,,,true,,,1920x1080,2022-07-18 07:05:11.130,-420,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-d605eqrr-l5m5ugxa,,,,,,1,1920x887
eccd3a50-018e-11ed-a3a2-5bc13a21fb20,,Chrome 103,,24,click,UTF-8,http://localhost:4200/candidate-portal/job/191,CandidatePortal,"{""customEvent"":""click"",""jobId"":""191"",""publisherId"":0,""userId"":123}",2,,,,true,,http://localhost:4200/candidate-portal/job,1920x1080,2022-07-12 03:01:28.527,-420,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-rrc3k5vd-l4o0b4yy,,,,,,1,1367x929
a2f155a0-0d60-11ed-b4f8-558afb9ad519,1,Chrome 103,93,24,,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/ec972305bf4fd6cdf2b3701dbebc4a5385bd3258?param1=258&param2=1,CandidatePortal,,1,,,258,true,1,,1366x768,2022-07-27 04:00:23.291,-420,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-347wwfkr-l632u1zk,,,,,,1,1366x625
a54b7240-0d60-11ed-ad0e-7d6ae288dd00,,Chrome 103,,24,alive,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/188?jobId=188&publisherId=1,CandidatePortal,"{""customEvent"":""alive"",""jobId"":""188"",""publisherId"":""1"",""stayed_alive"":10}",2,,,,true,,,1366x768,2022-07-27 04:00:27.243,-420,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-347wwfkr-l632u1zk,,,,,,1,1366x625
640f4e30-0c13-11ed-aff4-0fb46f4c0f08,,Chrome 103,,24,,UTF-8,http://fe.stag.gotoro.io/candidate-portal/confirm-interview?calendarId=26&availableId=81&jobId=390&publisherIds=,CandidatePortal,,1,,,,true,,,1920x1080,2022-07-25 12:14:53.710,-420,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-vk7kksgd-l5tjg8wn,,,,,,1,1920x947
c9a05e00-0138-11ed-aa03-ceffb997f69d,,Chrome 96,,24,unqualified,UTF-8,http://150.136.2.86/candidate-portal/profile,CandidatePortal,"{""customEvent"":""unqualified"",""publisherId"":0,""userId"":276}",2,,,,true,,,1920x1080,2022-07-11 16:44:52.955,-420,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36",1-o23lt45w-l516d965,,,,,,1,1920x919
3318e8d0-0bb5-11ed-be10-017a287ade4a,,Chrome 103,,24,,UTF-8,http://fe.test.gotoro.io/candidate-portal/job/1,CandidatePortal,,1,,,,true,,,1366x768,2022-07-25 01:00:35.422,-420,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-rb4yzwxv-l601lrry,,,,,,1,1366x768
f5009130-0d60-11ed-a51a-eb5142fffd86,,Chrome 103,,24,alive,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/258?jobId=258&publisherId=1,CandidatePortal,"{""customEvent"":""alive"",""jobId"":""258"",""publisherId"":""1"",""stayed_alive"":10}",2,,,,true,,,1366x768,2022-07-27 04:02:40.993,-420,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-347wwfkr-l632u1zk,,,,,,1,1366x625
f66ee110-0b59-11ed-8d9a-35d6a32d602e,1,Chrome 103,48,24,click,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/3235a2389bed6cdd59ad37ff23c1b6b4fb2d1668?param1=188&param2=1,CandidatePortal,"{""customEvent"":""click"",""jobId"":""188"",""publisherId"":""1""}",2,34,,188,true,1,,1366x768,2022-07-24 14:07:33.270,-420,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-zof0i457-l5ze6uuv,,,,,,1,1366x625
007515c0-0c00-11ed-bf5f-e1c744e3dd80,0,Chrome 103,222,24,,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/700021a879721bc97b85d800ff96e8c72b3e9869?param1=1530&param2=1,CandidatePortal,,1,,,1530,true,1,,1366x768,2022-07-25 09:56:06.975,-420,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-yh82s4al-l60jlqwa,,,,,,1,1366x568
fbfa3290-07fa-11ed-8307-7dae6cb435a1,,Chrome 102,,24,click,UTF-8,http://localhost:4200/candidate-portal/,CandidatePortal,"{""customEvent"":""click"",""jobId"":2,""publisherId"":0,""userId"":97}",2,,,,true,,http://localhost:4200/candidate-portal/,1920x1080,2022-07-20 07:10:06.310,-420,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36",1-ok78d38x-l5j7ka8p,,,,,,1,1920x976
b0b9a130-064c-11ed-8dae-ba8e9046d55a,,Chrome 103,,30,,UTF-8,http://129.213.68.90/candidate-portal/login,CandidatePortal,,1,,,,true,,,1440x900,2022-07-18 03:49:56.559,-420,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-d605eqrr-l5m5ugxa,,,,,,1,1440x702
90aea670-08f8-11ed-b053-fad2bc8ad125,,Chrome 103,,24,,UTF-8,http://fe.stag.gotoro.io/candidate-portal/confirm-interview?calendarId=14&availableId=45&jobId=385&publisherIds=,CandidatePortal,,1,,,,true,,,1920x1080,2022-07-21 13:25:18.476,-420,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36 Edg/103.0.1264.62",1-rra7i3jt-l5v2g2rs,,,,,,1,1920x947
